,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
G,#FFBB13,#FFBD22,#FFB525,#FFB434,#FFBA59,#FFAC50,#FFAE61,#FFA769,#FFA775,#FEA782,#FDA693,#FEA597,#FDA7A4,#FBA4A8,#FBA6C0,#E5ACC9,#D3ACCC,#D0B1D1,#B89EC6,#A790C1,#9B88BF,#8B7CB6,#8073B1,#736AAE,#6661AB,#5A5AA7,#4F50A4,#43469C,#2F3B98,#2A3488,G
,lightning yellow,sunflower,marigold,maize,light mustard,light gold,sand,tan,fawn,sandy,pale rose,light peach,baby pink,pastel pink,light rose,silver,light lavender,pale lavender,lavender,baby purple,lavender purple,faded blue,greyish blue,steel blue,french blue,dull blue,muted blue,ugly blue,light navy,blue violet,
H,#FFCA10,#FFC822,#FFC428,#FFC43A,#FFC443,#FFBE50,#FFBB5C,#FFBA68,#FFB675,#FFB57D,#FFB389,#FEB89A,#F9BBA9,#F7BCB3,#F0BCC8,#DBBBD4,#CFBCDA,#CEBFDE,#B3ABD1,#A6A3CC,#9598C9,#828BC2,#7680C0,#6778BB,#5A6CB3,#5064AF,#465CAB,#3B51A3,#2D47A1,#213D96,H
,goldenrod,sun yellow,golden,dull yellow,sand yellow,pale gold,yellow tan,wheat,sandstone,toupe,beige,pale peach,light tan,pale pink,light pink,light grey,pale violet,light violet,logan,perrywinkle,blue bell,dusty blue,off blue,cool blue,stormy blue,flat blue,mid blue,medium blue,blue blue,darkish blue,
I,#FFD70F,#FFD520,#FFD42C,#FFD33B,#FFD745,#FFD452,#FFD65B,#FED465,#F9D778,#F3DD8E,#EFDA9A,#E7DDAD,#E0DEBE,#DADFC7,#D1DDCF,#C4DAE5,#BED7F1,#BED7F1,#A3C6E9,#95B8E2,#87A9DA,#76A1D7,#6D93CF,#6184C3,#5279BB,#496EB7,#3F63AF,#385BAC,#2F50A4,#24479F,I
,dandelion,sunflower yellow,off yellow,bright sunshine,canary yellow,yellowish,sandy yellow,straw,manilla,dark cream,light khaki,buff,very pale green,very light green,pale green,light periwinkle,powder blue,baby blue,pastel blue,carolina blue,periwinkle blue,soft blue,cornflower blue,dark periwinkle,windows blue,bluish,dirty blue,nice blue,peacock blue,deep sea blue,
J,#FBE11C,#FCE020,#FEE32E,#FBE63D,#FAE745,#FCEA55,#F8E964,#F0E87C,#E7E487,#DEE298,#D7E3A9,#CFE3BA,#CFE4C8,#C9E4D0,#C3E2D4,#B7E0E4,#AEDEF0,#AFDFF6,#98D7F6,#7FCEF7,#76C1ED,#6AB0E7,#5EA4DF,#5894D3,#4C88CC,#467BBE,#3B6DB8,#3466B3,#315CAB,#2B51A4,J
,candlelight,yellow,lemon yellow,banana yellow,lemon,canary,pastel yellow,yellowish tan,pale yellow,celery,light sage,light light green,celadon,light mint,pale aqua,duck egg blue,robin's egg blue,pale sky blue,light blue,sky,lightblue,sky blue,dark sky blue,cornflower,dodger blue,warm blue,water blue,ocean blue,sea blue,ocean,
K,#F9E435,#FAE53A,#F6E541,#F6E547,#F3E456,#EDE562,#E7E175,#DEE080,#D7DD80,#C7D788,#BCD591,#B1D39E,#B0D4AC,#ADD4B4,#A9D4BF,#A9D7D5,#A4D7DE,#A4D7E0,#92D2E5,#81D0EE,#6CCAF6,#5AC2F8,#56B6EB,#51A5DF,#4E98D7,#4387CC,#397BC4,#356EB8,#3164AF,#2D5DAB,K
,piss yellow,sickly yellow,starship,butter yellow,custard,light yellow,greenish beige,golden sand,greenish tan,pale olive,light grey green,hospital green,washed out green,light teal,light sea green,pale turquoise,light aqua,robin egg blue,tiffany blue,robin's egg,light turquoise,bright cyan,lightish blue,clear blue,lavender blue,sea,cerulean,azul,teal blue,blurple,
L,#F3DF1B,#F3DF24,#EEDF2C,#E9DE31,#E6DC3C,#DEDB4C,#D1D659,#BFD061,#B1CC6A,#A6C973,#9BC67D,#93C585,#8EC594,#86C39C,#89C5A2,#86C6B0,#88C9C0,#86C9C5,#7DC6C8,#73C7D1,#61C1DB,#4CBFE2,#30BAEF,#2DB0EF,#32A2E4,#3393D8,#3A85CD,#3277C0,#356EB8,#2E64B3,L
,bright yellow,lime yellow,golden dream,ripe lemon,sandstorm,pear,desert,light olive,light moss green,tan green,lichen,greenish grey,pale teal,seafoam blue,sage green,seafoam,light blue green,half baked,seafoam green,downy,aqua marine,tealish,bright sky blue,azure,turquoise blue,deep sky blue,cerulean blue,blue grey,dusty teal,dark cyan,
M,#E0D619,#DBD520,#D8D529,#D2D331,#C9D03C,#B9CA3E,#ADC648,#9CC04C,#8DBD54,#82BA5B,#73B664,#6BB66E,#6AB67A,#65B67F,#67B686,#6AB992,#69BA9C,#6CBCA2,#6EBEA7,#63BCB5,#57B9B9,#4BBAC7,#3CB7CF,#23B3DB,#0CADE8,#14A0E4,#1D94D9,#2F88D1,#2A7AC3,#2570BC,M
,dirty yellow,mustard yellow,vomit yellow,puke yellow,yellowish green,earls green,light olive green,avocado,turtle green,asparagus,dull green,boring green,tea,soft green,dull teal,greyish teal,grey teal,greeny blue,greyish green,tradewind,tradewind teal,topaz,turquoise,aqua blue,neon blue,bright blue,curious blue,electric blue,greenish blue,blue,
N,#C1CC25,#BBCA29,#B3C62D,#A9C233,#9EC036,#91BB39,#7CB43C,#75B13D,#66AD3F,#58A544,#4DA548,#47A350,#3FA859,#41A966,#48AB70,#4EAF78,#51AF7E,#54B182,#59B488,#58B58F,#52B49B,#48B4A9,#3CB3B1,#2BB2C0,#1BB0D0,#07ABDA,#01A1E0,#0A9ADF,#188DD4,#1F7FC8,N
,key lime pie,pea,sick  green,gross green,atlantis green,sickly green,nasty green,leaf,fern,mid green,dark pastel green,medium green,greenish,seaweed green,dark seafoam green,algae,dark mint,ocean green,dusty green,faded green,bluey green,greenblue,dark seafoam,aquamarine,aqua,green blue,light cerulean,electric teal,deep aqua,twilight blue,
O,#9CB834,#97B837,#92B639,#85B13C,#7BAE3E,#69A440,#5EA241,#509A42,#489844,#399045,#2D8D45,#279247,#219848,#219D48,#26A153,#2EA459,#39A863,#3DA96E,#41AB70,#49AD74,#4BAF83,#41AF91,#3BB19C,#2EB0A9,#22AFB5,#1BAFC6,#0DADD4,#00A4D7,#009BDC,#0994DD,O
,avocado green,pea soup green,pea green,apple,flat green,off green,muted green,fern  green,fruit salad,darkish green,dark sea green,viridian,emerald,kelley green,jade green,cool green,teal green,jade,dark mint green,slate green,algae green,weird green,seaweed,aqua green,green teal,bright teal,bright aqua,greenish turquoise,vibrant blue,bluish green,
P,#789A3B,#759E3E,#6B9A3F,#61963F,#549741,#479142,#3B8B42,#328842,#218243,#177A41,#0F793E,#0A7F42,#0C8847,#0E8E47,#109748,#159C4A,#23A048,#29A254,#31A55D,#36A764,#37A86E,#30A97B,#27AA87,#1FA995,#15AAA0,#0CA9AE,#0CACBE,#06ACCA,#03A8D8,#00A3E4,P
,khaki green,drab green,moss green,swamp,dark sage,military green,tree green,pine,jungle green,spruce,jewel,irish green,blue green,kelly green,shamrock,shamrock green,green,leafy green,grass,moss,grey green,tealish green,deep turquoise,mountain meadow,turquoise green,bright sea green,greenish cyan,bright turquoise,bright light blue,curious cyan,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
