,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
I,#FF4E00,#F96133,#F3714C,#EE7E5F,#E9896F,#E5937E,#E19C8B,#DEA597,#DBADA3,#D9B4AD,#D7BBB7,#D7C4C1,#D8CCCB,#DAD3D4,#DCD8DA,#D5D5D8,#D2D5D9,#CCD4DB,#C6D3DC,#BED2DE,#B6D1E0,#ADD1E2,#A3D0E5,#98CFE8,#8CCEEB,#7ECEEE,#6ECDF2,#5BCCF6,#40CCFA,#00CBFF,I
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,#FF0C00,#F93F32,#F3594D,#ED6C61,#E87B73,#E48983,#E09491,#DD9F9E,#DAA9AA,#D9B3B5,#D8BCC0,#D8C4C9,#D9C9CF,#DACAD4,#D6C9D8,#CAC5D3,#C2C3D0,#BDC2CE,#BCC4D2,#B7C5D6,#B0C4D9,#A7C4DD,#9EC3E0,#93C2E4,#88C2E8,#7AC1EC,#6BC0F0,#58BFF5,#3EBFFA,#00BEFF,J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,#FF0038,#F93F50,#F35963,#ED6C74,#E87B83,#E48891,#E0949E,#DD9FAA,#DBAAB4,#D9B3BE,#D9BAC5,#DABACA,#DBBBD0,#DCBDDA,#CEB8D6,#C1B4D2,#B7B2CF,#AFB0CD,#A9AFCC,#A3AFCA,#A2B3D0,#9EB5D6,#96B5DB,#8CB4DF,#81B4E4,#75B3E9,#66B2EE,#54B2F3,#3BB1F9,#00B0FF,K
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,#FF0053,#F93F65,#F35975,#EE6B84,#E97B91,#E4899E,#E195A9,#DEA0B3,#DCA8BB,#DDA8C0,#DDA9C6,#DEAACE,#DFACD8,#D7A9DC,#C8A5D8,#BBA2D5,#AF9FD2,#A59ED0,#9C9DCF,#949CCD,#8E9CCC,#889CCC,#86A0D2,#81A3DA,#78A4E0,#6DA4E6,#5FA3EC,#4EA3F2,#37A2F8,#00A0FF,L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,#FF0067,#F93F77,#F35985,#EE6C92,#E97B9E,#E589A8,#E293B1,#E293B6,#E394BC,#E395C4,#E496CD,#E497D7,#E396E3,#D393E0,#C48FDD,#B68DDB,#A98BD9,#9D8AD7,#9389D6,#8988D5,#8088D4,#7887D3,#7187D2,#6A87D2,#668CD9,#6190E2,#5691E9,#4791F0,#3290F8,#008FFF,M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,#FF0079,#F93F86,#F35992,#EE6C9E,#EA7AA8,#EA7AAD,#EA7BB4,#EB7BBB,#EB7CC3,#EB7DCD,#EC7ED9,#EC80E6,#E07BE9,#D079E7,#C176E5,#B374E4,#A573E3,#9972E1,#8D71E0,#8270DF,#7870DF,#6E70DE,#6570DD,#5C70DD,#5370DC,#4A70DC,#4173E4,#3C7AEE,#2A7BF7,#007BFF,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,#FF0088,#F93F93,#F4589E,#F458A4,#F458AB,#F458B3,#F459BB,#F459C5,#F45AD0,#F55BDC,#F55CEA,#EF5AF3,#DE58F2,#CF56F2,#BF54F1,#B153F0,#A352EF,#9751EF,#8A51EE,#7F51EE,#7450ED,#6950ED,#5F50EC,#5550EC,#4B51EC,#4151EC,#3651EB,#2951EB,#1551F5,#005CFF,O
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,#FF0095,#FF009C,#FF00A3,#FF00AB,#FF00B4,#FF00BD,#FF00C8,#FF00D4,#FF00E1,#FF00F0,#FE00FF,#EE00FF,#DE00FF,#CE00FF,#BF00FF,#B100FF,#A300FF,#9700FF,#8B00FF,#7F00FF,#7500FF,#6A00FF,#6100FF,#5700FF,#4E00FF,#4500FF,#3B00FF,#3100FF,#2600FF,#1800FF,P
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
